# xoscope, version 1.5, 640x480
#
# -a 1
# -r 44100
# -s 1/1
# -t 0:0:x
# -c 4
# -d 4
# -m 0
# -p 2
# -g 0
# -z
# -1 0:1/1:x
# -2 0:1/1:y
# -3 -160:1/1:6
# -4 -160:1/1:7
# -5 0:1/1:4
# -6 0:1/1:3
# -7 +0:1/1:0
# -8 +144:1/1:0
# a(02)	b(03)	c(14)	d(06)	e(05)	f(01)
#:44100	44100	44100	44100	44100	44100
-7	4	0	0	-11	-3
-9	2	0	0	-11	-7
-12	-1	0	0	-11	-13
-11	-1	0	0	-10	-12
-6	4	0	0	-10	-2
1	11	0	0	-10	12
8	16	0	0	-8	24
8	16	0	0	-8	24
3	9	0	0	-6	12
0	4	0	0	-4	4
4	6	0	0	-2	10
10	10	0	0	0	20
14	14	0	0	0	28
15	13	0	0	2	28
10	8	0	0	2	18
1	-3	0	0	4	-2
-8	-12	0	0	4	-20
-9	-14	0	0	5	-23
-6	-10	0	0	4	-16
-4	-9	0	0	5	-13
-6	-13	0	0	7	-19
-10	-17	0	0	7	-27
-10	-19	0	0	9	-29
-9	-19	0	0	10	-28
-8	-19	0	0	11	-27
-6	-17	0	0	11	-23
-3	-14	0	0	11	-17
-1	-13	0	0	12	-14
-2	-14	0	0	12	-16
-3	-15	0	0	12	-18
-4	-16	0	0	12	-20
-4	-18	0	0	14	-22
-4	-19	0	0	15	-23
-3	-19	0	0	16	-22
-1	-17	0	0	16	-18
-1	-16	0	0	15	-17
